route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100481,15371,350898036,"Seacrest Marina","LOCAL",1,7215355,20775004,0,300,1,1
100481,15371,350898046,"Seacrest Marina","LOCAL",1,7215354,20775004,0,300,1,1
100481,15371,350898056,"Seacrest Marina","LOCAL",1,7215355,20775004,0,300,1,1
100272,15371,350898266,"Alaska Junction","LOCAL",1,7215355,20773002,0,300,1,1
100272,15371,350898496,"Alaska Junction","LOCAL",1,7215352,20773002,0,300,1,1
100272,15371,350898506,"Alaska Junction","LOCAL",1,7215353,20773002,0,300,1,1
100272,15371,350898516,"Alaska Junction","LOCAL",1,7215352,20773002,0,300,1,1
100272,15371,350898526,"Alaska Junction","LOCAL",1,7215353,20773002,0,300,1,1
100272,15371,350898536,"Alaska Junction","LOCAL",1,7215352,20773002,0,300,1,1
100272,15371,350898546,"Alaska Junction","LOCAL",1,7215353,20773002,0,300,1,1
100272,15371,350898556,"Alaska Junction","LOCAL",1,7215352,20773002,0,300,1,1
100272,15371,350898566,"Alaska Junction","LOCAL",1,7215353,20773002,0,300,1,1
100272,15371,350898576,"Alaska Junction","LOCAL",1,7215352,20773002,0,300,1,1
100272,15371,350898586,"Alaska Junction","LOCAL",1,7215353,20773002,0,300,1,1
100272,15371,350898596,"Alaska Junction","LOCAL",1,7215354,20773002,0,300,1,1
100272,15371,350898606,"Alaska Junction","LOCAL",1,7215355,20773002,0,300,1,1
100272,15371,350898616,"Alaska Junction","LOCAL",1,7215354,20773002,0,300,1,1
100272,15371,350898626,"Alaska Junction","LOCAL",1,7215355,20773002,0,300,1,1
100272,15371,350898636,"Alaska Junction","LOCAL",1,7215354,20773002,0,300,1,1
100272,15371,350898646,"Alaska Junction","LOCAL",1,7215355,20773002,0,300,1,1
100272,15371,350898656,"Alaska Junction","LOCAL",1,7215354,20773002,0,300,1,1
100272,15371,350898666,"Alaska Junction","LOCAL",1,7215355,20773002,0,300,1,1
100272,15371,350898676,"Alaska Junction","LOCAL",1,7215354,20773002,0,300,1,1
100272,15371,350898686,"Alaska Junction","LOCAL",1,7215355,20773002,0,300,1,1
100272,15371,350898696,"Alaska Junction","LOCAL",1,7215354,20773002,0,300,1,1
100336,15371,350898796,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898806,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898816,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898826,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898836,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898846,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898856,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898866,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898876,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898886,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898896,"West Seattle Water Taxi","LOCAL",0,7215356,31973002,0,700,1,1
100336,15371,350898946,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350898956,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350898966,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350898986,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899026,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899036,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899046,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899056,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899066,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899076,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100336,15371,350899086,"Downtown Seattle Water Taxi","LOCAL",1,7215356,40973001,0,700,1,1
100236,14320,353312256,"Redmond","EXPRESS",0,7216024,41545006,0,501,1,1
100236,14320,353312276,"Downtown Seattle","EXPRESS",1,7216024,30545007,0,501,1,1
100236,14320,353312286,"Redmond","EXPRESS",0,7216024,41545006,0,501,1,1
100236,14320,353312326,"Redmond","EXPRESS",0,7216026,41545006,0,501,1,1
100236,14320,353312336,"Downtown Seattle","EXPRESS",1,7216025,30545007,0,501,1,1
100236,14320,353312346,"Redmond","EXPRESS",0,7216026,41545006,0,501,1,1
100236,14320,353312356,"Redmond","EXPRESS",0,7216025,41545006,0,501,1,1
100236,14320,353312366,"Downtown Seattle","EXPRESS",1,7216026,30545007,0,501,1,1
100236,14320,353312376,"Redmond","EXPRESS",0,7216025,41545006,0,501,1,1
100236,14320,353312386,"Downtown Seattle","EXPRESS",1,7216024,30545007,0,501,1,1
100236,14320,353312426,"Downtown Seattle","EXPRESS",1,7216025,30545007,0,501,1,1
100236,14320,353312436,"Redmond","EXPRESS",0,7216027,41545006,0,501,1,1
100236,14320,353312446,"Downtown Seattle","EXPRESS",1,7216027,30545007,0,501,1,1
100236,14320,353312456,"Downtown Seattle","EXPRESS",1,7216027,30545007,0,501,1,1
100236,14320,353312486,"Downtown Seattle","EXPRESS",1,7216025,30545007,0,501,1,1
100236,14320,353312506,"Redmond","EXPRESS",0,7216027,41545006,0,501,1,1
100236,14320,353312516,"Redmond","EXPRESS",0,7216024,41545006,0,501,1,1
100236,14320,353312526,"Downtown Seattle","EXPRESS",1,7216026,30545007,0,501,1,1
100236,14320,353312556,"Redmond","EXPRESS",0,7216028,41545006,0,501,1,1
100236,14320,353312566,"Downtown Seattle","EXPRESS",1,7216028,30545007,0,501,1,1
100236,14320,353312586,"Downtown Seattle","EXPRESS",1,7216027,30545007,0,501,1,1
100236,14320,353312596,"Redmond","EXPRESS",0,7216025,41545006,0,501,1,1
